rule,file,line,col,severity,message,suggestion
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,87,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_6688128f_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,101,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_6960119_length_ciphertext' value (194) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,102,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_6960119_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,116,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_6960119f_length_ciphertext' value (194) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,117,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_6960119f_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,131,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_8192128_length_ciphertext' value (208) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,132,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_8192128_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,146,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_8192128f_length_ciphertext' value (208) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/kem_classic_mceliece.h,147,0,medium,Hardcoded key/buffer size macro 'OQS_KEM_classic_mceliece_8192128f_length_shared_secret' value (32) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/pqclean_mceliece348864_avx2/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE348864_AVX2_CRYPTO_CIPHERTEXTBYTES' value (96) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/pqclean_mceliece348864_avx2/bm.c,75,11,high,Hardcoded key array size (4 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece348864_avx2/fft.c,18,19,high,Hardcoded key array size (5 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece348864_avx2/fft_tr.c,19,17,high,Hardcoded key array size (10 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece348864_clean/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE348864_CLEAN_CRYPTO_CIPHERTEXTBYTES' value (96) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/pqclean_mceliece348864f_avx2/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE348864F_AVX2_CRYPTO_CIPHERTEXTBYTES' value (96) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/pqclean_mceliece348864f_avx2/bm.c,75,11,high,Hardcoded key array size (4 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece348864f_avx2/fft.c,18,19,high,Hardcoded key array size (5 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece348864f_avx2/fft_tr.c,19,17,high,Hardcoded key array size (10 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece348864f_clean/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE348864F_CLEAN_CRYPTO_CIPHERTEXTBYTES' value (96) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/pqclean_mceliece460896_avx2/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE460896_AVX2_CRYPTO_CIPHERTEXTBYTES' value (156) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/pqclean_mceliece460896_avx2/bm.c,80,11,high,Hardcoded key array size (4 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece460896_avx2/fft.c,23,17,high,Hardcoded key array size (5 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece460896_avx2/fft_tr.c,20,17,high,Hardcoded key array size (6 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece460896_clean/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE460896_CLEAN_CRYPTO_CIPHERTEXTBYTES' value (156) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/pqclean_mceliece460896f_avx2/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE460896F_AVX2_CRYPTO_CIPHERTEXTBYTES' value (156) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/pqclean_mceliece460896f_avx2/bm.c,80,11,high,Hardcoded key array size (4 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece460896f_avx2/fft.c,23,17,high,Hardcoded key array size (5 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece460896f_avx2/fft_tr.c,20,17,high,Hardcoded key array size (6 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece460896f_clean/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE460896F_CLEAN_CRYPTO_CIPHERTEXTBYTES' value (156) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/pqclean_mceliece6688128_avx2/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE6688128_AVX2_CRYPTO_CIPHERTEXTBYTES' value (208) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
R01,src/kem/classic_mceliece/pqclean_mceliece6688128_avx2/bm.c,80,11,high,Hardcoded key array size (4 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece6688128_avx2/fft.c,23,17,high,Hardcoded key array size (5 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece6688128_avx2/fft_tr.c,20,17,high,Hardcoded key array size (6 bytes) for 'mask' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,src/kem/classic_mceliece/pqclean_mceliece6688128_clean/api.h,9,0,medium,Hardcoded key/buffer size macro 'PQCLEAN_MCELIECE6688128_CLEAN_CRYPTO_CIPHERTEXTBYTES' value (208) is below PQC minimum requirements.,Use a parameterized constant or a post-quantum size constant (e.g. ML-KEM key sizes > 800 bytes).
