rule,file,line,col,severity,message,suggestion
R01,library/pkcs5.c,140,18,high,Hardcoded key array size (32 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R01,library/pkcs5.c,463,18,high,Hardcoded key array size (64 bytes) for 'key' is insufficient for PQC.,"Increase array size to hold PQC public/private keys or signatures, or parameterize it."
R02,library/pkparse.c,360,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,455,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,503,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,556,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,571,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,697,12,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,714,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,814,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,815,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,822,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,1004,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,1145,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,1211,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,1221,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkparse.c,1259,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R07,library/pkwrite.c,178,0,medium,Return contract violation: variable 'ret' stores crypto result but is returned without validation.,Ensure the return value contract is validated (e.g. checking for non-zero status) before returning.
R07,library/pkwrite.c,178,0,medium,Return contract violation: variable 'ret' stores crypto result but is returned without validation.,Ensure the return value contract is validated (e.g. checking for non-zero status) before returning.
R02,library/pkwrite.c,396,8,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkwrite.c,418,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkwrite.c,515,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pkwrite.c,587,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R07,library/pk_ecc.c,70,0,medium,Return contract violation: variable 'status' stores crypto result but is returned without validation.,Ensure the return value contract is validated (e.g. checking for non-zero status) before returning.
R02,library/pk_ecc.c,56,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R03,library/pk_ecc.c,121,18,high,Stack-allocated crypto buffer 'pub' of large size (MBEDTLS_PSA_MAX_EC_PUBKEY_LENGTH) detected.,PQC keys/buffers are large; allocate on the heap or use caller-provided memory to prevent stack exhaustion.
R02,library/pk_ecc.c,125,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pk_ecc.c,209,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
R02,library/pk_ecc.c,234,4,medium,Algorithm if-else chain contains classical checks but lacks post-quantum cryptography options.,Refactor to support post-quantum algorithms.
